MaSV,tenSV,namsinh,diachi,sodienthoai,cmnd,kỳ một,kỳ hai,kỳ ba,kỳ bốn,Kỳ sau
728,Lucas Martin,2004-07-17,"Gò Vấp , TPHCM",081442-2861,2.89759E+11,5,10,9,9,7
729,Sofia Garcia,2002-08-11,"Gò Vấp , TPHCM",085038-6338,9.41557E+11,6,6,9,8,7
730,Emma Müller,2002-02-09,"Gò Vấp , TPHCM",089765-6589,6.28276E+11,10,7,9,5,9
731,Ali Hassan,2001-05-02,"Gò Vấp , TPHCM",080284-6608,8.75395E+11,10,6,8,5,10
732,Johanna Weber,2004-02-28,"Gò Vấp , TPHCM",086843-3124,2.80949E+11,5,10,9,7,10
733,Matteo Ferrari,2000-11-12,"Gò Vấp , TPHCM",080214-2659,3.36268E+11,9,7,5,8,6
734,Maxime Dubois,2002-06-13,"Gò Vấp , TPHCM",089421-4368,7.90941E+11,7,9,6,9,6
735,Elisa Müller,2001-05-02,"Gò Vấp , TPHCM",084007-5232,7.39603E+11,5,8,10,10,5
736,Lucas Kim,2004-04-02,"Gò Vấp , TPHCM",085243-0727,5.91324E+11,5,10,9,5,5
737,Sofia Rodriguez,2003-04-26,"Gò Vấp , TPHCM",088884-9650,6.19656E+11,5,9,8,6,9
738,William Lee,2001-11-05,"Gò Vấp , TPHCM",084731-2410,9.8401E+11,5,9,8,7,6
739,Emma Johnson,2002-02-13,"Gò Vấp , TPHCM",088288-6828,8.38732E+11,7,8,10,9,8
740,Amir Kaur,2001-10-31,"Gò Vấp , TPHCM",087156-9440,9.89728E+11,9,7,5,5,5
741,Johanna Schmidt,2001-03-08,"Gò Vấp , TPHCM",086578-2732,5.91123E+11,10,10,8,6,6
742,Matteo Bianchi,2004-06-18,"Gò Vấp , TPHCM",082813-0313,2.4392E+11,10,8,5,5,6
743,Maria Hernandez,2001-05-02,"Gò Vấp , TPHCM",087955-9117,2.26897E+11,5,9,6,6,9
744,Youssef Ali,2002-01-29,"Gò Vấp , TPHCM",089499-9487,8.9626E+11,7,9,5,10,8
745,Anna Müller,2001-03-23,"Gò Vấp , TPHCM",080301-1120,6.71593E+11,9,10,10,8,7
746,Miguel Rodriguez,2000-12-20,"Gò Vấp , TPHCM",084381-7631,7.22543E+11,6,5,10,5,10
747,Emily Wilson,2003-03-09,"Gò Vấp , TPHCM",080212-9261,4.54329E+11,7,6,6,5,9
748,Ahmed Hassan,2003-05-04,"Gò Vấp , TPHCM",081765-1047,2.20391E+11,10,7,6,9,7
749,Sarah Kim,2002-07-07,"Gò Vấp , TPHCM",086873-6254,5.82773E+11,5,8,8,6,10
750,Lukas Becker,2003-09-30,"Gò Vấp , TPHCM",080165-3840,2.06445E+11,9,6,5,8,10
751,Sofia Lopez,2003-12-22,"Gò Vấp , TPHCM",087039-3610,9.51997E+11,6,6,8,7,9
752,Alexander Müller,2004-04-12,"Gò Vấp , TPHCM",081900-9974,4.97475E+11,6,5,10,6,10
753,Isabella Rossi,2002-07-18,"Gò Vấp , TPHCM",089998-0301,3.50774E+11,6,6,9,8,10
754,Liam Brown,2003-02-02,"Gò Vấp , TPHCM",084300-5174,6.91379E+11,6,6,6,7,10
755,Leila Ali,2003-03-29,"Gò Vấp , TPHCM",089362-2058,5.53934E+11,10,9,6,10,5
756,Chiara Bianchi,2004-08-31,"Gò Vấp , TPHCM",084526-2644,5.23831E+11,5,5,10,9,8
757,Ahmed Al-Sayed,2001-10-18,"Gò Vấp , TPHCM",083018-4471,9.79862E+11,7,5,9,8,7
758,María Fernández,2003-11-05,"Gò Vấp , TPHCM",089948-8731,1.34999E+11,9,8,8,10,5
759,Lucas Martin,2004-06-21,"Gò Vấp , TPHCM",084304-0089,7.86972E+11,9,9,9,10,8
760,Sofia Garcia,2003-08-14,"Gò Vấp , TPHCM",083676-1886,4.52168E+11,7,6,8,7,9
761,Emma Müller,2003-11-06,"Gò Vấp , TPHCM",086488-0095,8.12506E+11,10,9,10,9,7
762,Ali Hassan,2004-03-05,"Gò Vấp , TPHCM",083625-0093,5.30024E+11,9,6,6,7,6
763,Johanna Weber,2003-03-08,"Gò Vấp , TPHCM",081488-2710,3.54852E+11,6,5,10,6,9
764,Matteo Ferrari,2004-05-03,"Gò Vấp , TPHCM",081933-7941,4.25299E+11,7,5,5,8,8
765,Maxime Dubois,2001-03-18,"Gò Vấp , TPHCM",086967-1870,2.79094E+11,5,7,9,8,5
766,Elisa Müller,2003-08-19,"Gò Vấp , TPHCM",083481-6873,6.44756E+11,5,7,7,9,10
767,Lucas Kim,2003-07-16,"Gò Vấp , TPHCM",084674-5344,3.5291E+11,10,5,6,9,7
768,Sofia Rodriguez,2002-12-02,"Gò Vấp , TPHCM",085325-4182,9.2225E+11,9,10,6,8,6
769,William Lee,2002-09-10,"Gò Vấp , TPHCM",083183-8264,4.65951E+11,9,7,10,8,10
770,Emma Johnson,2001-02-24,"Gò Vấp , TPHCM",085773-3314,9.10769E+11,6,7,10,5,10
771,Amir Kaur,2003-03-18,"Gò Vấp , TPHCM",080681-5523,8.23477E+11,6,9,6,7,10
772,Johanna Schmidt,2003-01-18,"Gò Vấp , TPHCM",088246-3602,8.76085E+11,10,10,9,7,10
773,Matteo Bianchi,2003-11-06,"Gò Vấp , TPHCM",080190-7584,7.88721E+11,5,10,6,5,7
774,Maria Hernandez,2002-03-22,"Gò Vấp , TPHCM",082549-3036,8.53746E+11,9,7,5,6,10
775,Youssef Ali,2002-01-30,"Gò Vấp , TPHCM",084366-6594,5.3378E+11,8,6,6,7,9
776,Anna Müller,2002-02-22,"Gò Vấp , TPHCM",083763-1698,3.47157E+11,8,8,10,8,10
777,Miguel Rodriguez,2003-06-20,"Gò Vấp , TPHCM",080284-1141,8.35823E+11,9,8,10,6,5
778,Emily Wilson,2003-10-10,"Gò Vấp , TPHCM",081966-0956,3.52194E+11,5,5,8,5,7
779,Ahmed Hassan,2002-08-05,"Gò Vấp , TPHCM",087554-2824,7.094E+11,7,5,8,6,10
780,Sarah Kim,2002-06-20,"Gò Vấp , TPHCM",087157-3427,6.85653E+11,7,5,9,6,8
781,Lukas Becker,2000-12-10,"Gò Vấp , TPHCM",084348-8962,7.21174E+11,9,9,6,6,7
782,Sofia Lopez,2002-09-25,"Gò Vấp , TPHCM",084415-1350,5.67715E+11,7,9,6,9,6
783,Alexander Müller,2003-12-20,"Gò Vấp , TPHCM",088792-5546,7.28195E+11,5,7,5,5,8
784,Isabella Rossi,2004-10-16,"Gò Vấp , TPHCM",087546-8682,1.15843E+11,7,10,7,6,6
785,Liam Brown,2002-02-06,"Gò Vấp , TPHCM",087215-3131,6.95252E+11,6,10,8,6,5
786,Leila Ali,2001-02-18,"Gò Vấp , TPHCM",088886-5485,6.34283E+11,5,8,10,8,8
787,Chiara Bianchi,2001-09-17,"Gò Vấp , TPHCM",081275-6645,8.57331E+11,10,7,9,7,10
788,Ahmed Al-Sayed,2002-10-24,"Gò Vấp , TPHCM",089961-1800,2.35408E+11,10,8,6,9,8
789,María Fernández,2003-01-28,"Gò Vấp , TPHCM",089214-5151,5.67042E+11,8,5,6,7,6
790,Lucas Martin,2004-07-04,"Gò Vấp , TPHCM",086559-3507,9.86683E+11,5,6,7,6,5
791,Sofia Garcia,2002-03-18,"Gò Vấp , TPHCM",081737-6617,4.93179E+11,8,10,6,10,9
792,Emma Müller,2001-09-30,"Gò Vấp , TPHCM",082850-0917,6.41678E+11,7,7,5,8,5
793,Ali Hassan,2004-10-22,"Gò Vấp , TPHCM",083003-8430,2.24137E+11,9,8,5,8,7
794,Johanna Weber,2002-03-25,"Gò Vấp , TPHCM",089089-4323,5.26194E+11,5,6,9,8,10
795,Matteo Ferrari,2004-09-23,"Gò Vấp , TPHCM",088286-2543,7.67507E+11,8,5,8,5,9
796,Sofia Garcia,2004-11-09,"Gò Vấp , TPHCM",083402-2902,9.13372E+11,6,9,9,7,9
797,Emma Müller,2001-03-01,"Gò Vấp , TPHCM",086392-5914,4.72271E+11,6,10,10,6,6
798,Ali Hassan,2003-03-26,"Gò Vấp , TPHCM",084953-1354,5.83439E+11,7,9,7,7,6
799,Johanna Weber,2001-08-23,"Gò Vấp , TPHCM",082270-1506,4.79937E+11,5,7,5,10,6
800,Matteo Ferrari,2001-03-29,"Gò Vấp , TPHCM",087298-6568,2.95421E+11,6,5,7,6,8
801,Maxime Dubois,2004-08-07,"Gò Vấp , TPHCM",088983-1016,4.9807E+11,8,5,7,9,7
802,Elisa Müller,2003-08-09,"Gò Vấp , TPHCM",081843-4605,8.26042E+11,10,10,8,8,6
803,Lucas Kim,2003-07-16,"Gò Vấp , TPHCM",084607-8982,9.14469E+11,10,5,8,8,8
804,Sofia Rodriguez,2001-10-11,"Gò Vấp , TPHCM",087719-0168,6.2369E+11,8,5,7,6,6
805,William Lee,2003-07-05,"Gò Vấp , TPHCM",086270-2982,9.77338E+11,10,10,5,8,9
806,Emma Johnson,2002-09-17,"Gò Vấp , TPHCM",087395-1143,2.9393E+11,8,5,7,9,10
807,Amir Kaur,2002-03-29,"Gò Vấp , TPHCM",089094-5766,4.41982E+11,8,7,9,9,6
808,Johanna Schmidt,2004-06-12,"Gò Vấp , TPHCM",084466-3592,5.13199E+11,7,6,6,9,6
809,Matteo Bianchi,2004-09-17,"Gò Vấp , TPHCM",080819-4124,8.59051E+11,8,8,5,10,8
810,Maria Hernandez,2002-06-29,"Gò Vấp , TPHCM",089410-1287,5.29176E+11,5,7,7,10,6
811,Youssef Ali,2004-05-15,"Gò Vấp , TPHCM",088557-3888,9.97284E+11,10,9,7,8,5
812,Anna Müller,2001-11-13,"Gò Vấp , TPHCM",088191-2146,3.51978E+11,6,8,7,9,10
813,Miguel Rodriguez,2004-10-14,"Gò Vấp , TPHCM",088889-8693,5.70778E+11,9,6,7,5,9
814,Emily Wilson,2002-06-24,"Gò Vấp , TPHCM",086891-4020,1.35354E+11,9,7,9,8,7
815,Ahmed Hassan,2004-02-15,"Gò Vấp , TPHCM",088959-1728,8.3066E+11,10,5,6,5,5
816,Sarah Kim,2004-03-27,"Gò Vấp , TPHCM",083764-5467,9.72043E+11,7,6,6,7,5
817,Lukas Becker,2002-07-03,"Gò Vấp , TPHCM",089500-4944,9.0169E+11,10,10,9,10,7
818,Sofia Lopez,2004-07-21,"Gò Vấp , TPHCM",088764-3634,9.52523E+11,8,8,6,5,8
819,Alexander Müller,2000-12-28,"Gò Vấp , TPHCM",081998-4053,1.68036E+11,8,9,5,9,10
820,Isabella Rossi,2002-09-14,"Gò Vấp , TPHCM",085213-8457,2.12425E+11,5,5,9,10,9
821,Liam Brown,2002-05-28,"Gò Vấp , TPHCM",084657-8832,4.31872E+11,8,7,10,7,9
822,Leila Ali,2004-06-21,"Gò Vấp , TPHCM",084685-4208,4.46389E+11,7,5,7,10,7
823,Chiara Bianchi,2004-05-12,"Gò Vấp , TPHCM",082319-3481,5.53913E+11,6,10,10,6,7
824,Ahmed Al-Sayed,2004-02-17,"Gò Vấp , TPHCM",088814-3401,4.13209E+11,9,10,6,5,7
825,María Fernández,2004-01-13,"Gò Vấp , TPHCM",084679-7007,4.1225E+11,9,7,5,10,10
826,Lucas Martin,2001-12-20,"Gò Vấp , TPHCM",081581-2669,5.9173E+11,5,7,8,9,8
827,Sofia Garcia,2001-11-12,"Gò Vấp , TPHCM",087180-2550,5.84038E+11,5,5,7,8,6
828,Emma Müller,2002-08-08,"Gò Vấp , TPHCM",088625-9069,3.42523E+11,8,7,5,8,8
829,Ali Hassan,2003-03-26,"Gò Vấp , TPHCM",080366-1587,9.40911E+11,5,5,7,6,5
830,Johanna Weber,2002-07-11,"Gò Vấp , TPHCM",083342-8477,7.41969E+11,8,6,8,9,7
831,Matteo Ferrari,2004-02-02,"Gò Vấp , TPHCM",085768-5767,5.85825E+11,8,8,6,7,8
832,Maxime Dubois,2001-02-13,"Gò Vấp , TPHCM",088720-7770,2.03968E+11,7,9,6,8,7
833,Elisa Müller,2001-04-06,"Gò Vấp , TPHCM",088011-1333,6.667E+11,9,5,7,8,6
834,Lucas Kim,2003-06-29,"Gò Vấp , TPHCM",080238-2626,6.7303E+11,8,10,10,7,9
835,Sofia Rodriguez,2002-03-31,"Gò Vấp , TPHCM",083310-4214,4.41308E+11,8,9,7,9,8
836,William Lee,2001-07-14,"Gò Vấp , TPHCM",088895-8353,3.99427E+11,6,5,8,7,9
837,Emma Johnson,2001-09-06,"Gò Vấp , TPHCM",089965-1277,5.49444E+11,10,7,5,5,9
838,Amir Kaur,2002-06-29,"Gò Vấp , TPHCM",082252-8798,6.93596E+11,7,7,7,7,9
839,Johanna Schmidt,2001-06-05,"Gò Vấp , TPHCM",085168-8328,3.89452E+11,5,8,9,9,5
840,Matteo Bianchi,2004-09-20,"Gò Vấp , TPHCM",083063-0312,1.57475E+11,5,5,5,5,6
841,Maria Hernandez,2003-06-12,"Gò Vấp , TPHCM",084332-7910,3.85816E+11,10,9,10,8,10
842,Youssef Ali,2004-01-08,"Gò Vấp , TPHCM",088824-9117,1.01342E+11,6,7,5,7,7
843,Anna Müller,2003-09-24,"Gò Vấp , TPHCM",088351-3603,2.06584E+11,7,7,7,9,9
844,Miguel Rodriguez,2003-10-12,"Gò Vấp , TPHCM",083780-6219,8.06784E+11,10,8,10,6,8
845,Emily Wilson,2001-05-19,"Gò Vấp , TPHCM",087864-5524,4.00444E+11,9,10,6,5,6
846,Ahmed Hassan,2004-06-22,"Gò Vấp , TPHCM",087391-0752,6.25275E+11,10,6,10,9,9
847,Sarah Kim,2003-05-11,"Gò Vấp , TPHCM",081053-4976,8.13952E+11,9,5,7,10,5
848,Lukas Becker,2002-02-02,"Gò Vấp , TPHCM",082602-7063,1.5499E+11,5,7,10,10,7
849,Sofia Lopez,2003-11-13,"Gò Vấp , TPHCM",084356-0277,7.34256E+11,10,9,6,6,5
850,Alexander Müller,2002-08-04,"Gò Vấp , TPHCM",087801-8048,1.53934E+11,9,5,5,6,8
851,Isabella Rossi,2001-12-13,"Gò Vấp , TPHCM",081062-7260,4.66595E+11,7,10,6,7,6
852,Liam Brown,2003-10-20,"Gò Vấp , TPHCM",083086-6832,7.0974E+11,8,8,5,8,10
853,Leila Ali,2001-08-19,"Gò Vấp , TPHCM",087443-9020,6.63358E+11,6,8,6,8,5
854,Chiara Bianchi,2001-06-30,"Gò Vấp , TPHCM",083688-2970,3.77802E+11,9,9,7,9,7
855,Ahmed Al-Sayed,2004-05-05,"Gò Vấp , TPHCM",084855-5176,8.7655E+11,8,8,8,8,9
856,María Fernández,2001-07-23,"Gò Vấp , TPHCM",081281-4980,7.65303E+11,6,5,9,8,7
857,Lucas Martin,2003-01-30,"Gò Vấp , TPHCM",085981-2033,8.70525E+11,6,9,9,9,8
858,Sofia Garcia,2003-09-27,"Gò Vấp , TPHCM",087820-1077,4.04372E+11,8,9,7,5,10
859,Emma Müller,2001-12-10,"Gò Vấp , TPHCM",089714-4022,4.53694E+11,10,8,9,8,10
860,Ali Hassan,2003-07-02,"Gò Vấp , TPHCM",087754-7656,4.32651E+11,9,7,10,5,9
861,Johanna Weber,2001-12-17,"Gò Vấp , TPHCM",089158-0619,3.46994E+11,10,7,8,6,5
862,Matteo Ferrari,2004-08-01,"Gò Vấp , TPHCM",085644-5907,8.47805E+11,5,7,5,9,6
863,Maxime Dubois,2002-09-12,"Gò Vấp , TPHCM",087855-3970,9.172E+11,7,5,7,6,7
864,Elisa Müller,2003-10-16,"Gò Vấp , TPHCM",089651-3689,5.54899E+11,6,9,8,9,5
865,Lucas Kim,2003-07-19,"Gò Vấp , TPHCM",087136-1064,6.3644E+11,9,9,7,10,10
866,Sofia Rodriguez,2000-11-01,"Gò Vấp , TPHCM",081251-9966,1.59859E+11,9,6,8,5,7
867,William Lee,2002-02-14,"Gò Vấp , TPHCM",087023-3768,5.78458E+11,10,7,7,10,8
868,Emma Johnson,2003-10-09,"Gò Vấp , TPHCM",081548-6387,4.65598E+11,10,10,8,6,10
869,Amir Kaur,2001-12-21,"Gò Vấp , TPHCM",086857-0741,1.71289E+11,8,9,9,10,7
870,Johanna Schmidt,2002-08-23,"Gò Vấp , TPHCM",088037-0387,1.37212E+11,8,9,10,7,8
871,Matteo Bianchi,2002-04-01,"Gò Vấp , TPHCM",080106-3880,9.46546E+11,8,7,8,7,5
872,Maria Hernandez,2001-07-14,"Gò Vấp , TPHCM",086296-5007,6.67005E+11,6,7,8,10,10
873,Youssef Ali,2004-06-24,"Gò Vấp , TPHCM",080327-8087,2.34294E+11,10,5,8,6,9
874,Anna Müller,2001-01-29,"Gò Vấp , TPHCM",082151-6348,4.10093E+11,8,7,10,8,9
875,Miguel Rodriguez,2002-02-07,"Gò Vấp , TPHCM",089554-7448,7.98878E+11,9,6,7,9,9
876,Emily Wilson,2000-12-30,"Gò Vấp , TPHCM",080714-2797,3.02832E+11,9,5,10,6,6
877,Ahmed Hassan,2002-11-16,"Gò Vấp , TPHCM",085224-0242,2.47919E+11,10,5,9,10,6
878,Sarah Kim,2001-09-22,"Gò Vấp , TPHCM",081819-8570,7.94715E+11,8,5,10,5,7
879,Lukas Becker,2004-10-10,"Gò Vấp , TPHCM",086976-4976,4.53441E+11,8,6,8,9,7
880,Sofia Lopez,2001-01-15,"Gò Vấp , TPHCM",089762-5399,7.52057E+11,7,7,8,9,6
881,Alexander Müller,2004-02-01,"Gò Vấp , TPHCM",087543-8568,1.73416E+11,5,7,9,6,10
882,Isabella Rossi,2002-08-17,"Gò Vấp , TPHCM",082033-9115,4.44506E+11,6,6,10,6,7
883,Liam Brown,2002-02-20,"Gò Vấp , TPHCM",083228-9584,7.26669E+11,5,7,9,5,9
884,Leila Ali,2001-12-05,"Gò Vấp , TPHCM",088350-0214,8.54287E+11,7,9,6,10,9
885,Chiara Bianchi,2004-07-15,"Gò Vấp , TPHCM",083324-4964,8.69628E+11,5,9,10,8,7
886,Ahmed Al-Sayed,2002-03-01,"Gò Vấp , TPHCM",082128-4981,3.15404E+11,9,6,5,7,7
887,María Fernández,2003-09-15,"Gò Vấp , TPHCM",086531-1353,2.87971E+11,8,9,7,6,7
888,Lucas Martin,2001-11-28,"Gò Vấp , TPHCM",082762-3571,4.72226E+11,9,10,7,8,7
889,Sofia Garcia,2004-12-01,"Gò Vấp , TPHCM",080283-5712,6.1337E+11,5,7,8,9,6
890,Emma Müller,2004-08-31,"Gò Vấp , TPHCM",084474-0478,6.06393E+11,9,5,6,5,8
891,Ali Hassan,2002-02-25,"Gò Vấp , TPHCM",081427-6728,1.44293E+11,10,6,8,10,8
892,Johanna Weber,2000-12-09,"Gò Vấp , TPHCM",081538-9608,4.29377E+11,5,10,10,8,5
893,Matteo Ferrari,2002-04-19,"Gò Vấp , TPHCM",081656-3611,2.15078E+11,5,7,9,9,10
894,Maxime Dubois,2004-03-13,"Gò Vấp , TPHCM",089375-9649,3.51616E+11,10,10,7,6,8
895,Elisa Müller,2003-07-10,"Gò Vấp , TPHCM",089446-6772,7.01297E+11,9,5,10,10,7
896,Lucas Kim,2004-01-20,"Gò Vấp , TPHCM",083400-4897,3.7243E+11,5,7,10,8,9
897,Sofia Rodriguez,2000-12-05,"Gò Vấp , TPHCM",088719-2895,6.64241E+11,9,8,6,9,10
898,William Lee,2001-08-11,"Gò Vấp , TPHCM",081705-4196,8.60801E+11,9,8,6,7,5
899,Emma Johnson,2004-05-03,"Gò Vấp , TPHCM",087866-0840,3.16057E+11,7,7,6,10,8
900,Amir Kaur,2001-06-25,"Gò Vấp , TPHCM",087671-5846,1.54274E+11,5,5,8,7,10
901,Johanna Schmidt,2003-10-22,"Gò Vấp , TPHCM",089135-0577,7.30692E+11,9,9,6,9,8
902,Matteo Bianchi,2001-04-27,"Gò Vấp , TPHCM",089067-9101,6.11645E+11,10,5,9,7,5
903,Maria Hernandez,2001-07-17,"Gò Vấp , TPHCM",086205-4709,1.14144E+11,7,6,5,9,5
904,Youssef Ali,2004-11-22,"Gò Vấp , TPHCM",083795-0883,9.09315E+11,7,10,7,6,10
905,Anna Müller,2000-12-02,"Gò Vấp , TPHCM",089351-8238,9.38104E+11,6,6,10,10,6
906,Miguel Rodriguez,2003-02-04,"Gò Vấp , TPHCM",083135-9595,2.49981E+11,8,6,10,9,7
907,Emily Wilson,2002-02-25,"Gò Vấp , TPHCM",081823-7780,2.11749E+11,9,5,8,7,5
908,Ahmed Hassan,2002-06-03,"Gò Vấp , TPHCM",080411-4751,4.51995E+11,5,6,10,6,9
909,Sarah Kim,2001-08-06,"Gò Vấp , TPHCM",087980-9794,8.24226E+11,8,7,6,5,7
910,Lukas Becker,2003-01-17,"Gò Vấp , TPHCM",088244-2344,1.10592E+11,9,6,6,6,5
911,Sofia Lopez,2003-01-08,"Gò Vấp , TPHCM",086838-2204,7.26622E+11,8,9,7,5,5
912,Alexander Müller,2002-05-02,"Gò Vấp , TPHCM",080404-6405,5.67264E+11,6,10,7,6,6
913,Isabella Rossi,2003-02-12,"Gò Vấp , TPHCM",086410-5519,2.23335E+11,5,6,5,5,9
914,Liam Brown,2003-10-03,"Gò Vấp , TPHCM",084201-5668,6.83356E+11,6,7,8,7,8
915,Leila Ali,2003-05-23,"Gò Vấp , TPHCM",081398-9188,2.32724E+11,5,6,9,10,10
916,Chiara Bianchi,2003-06-28,"Gò Vấp , TPHCM",081268-0263,6.49409E+11,7,7,7,6,5
917,Ahmed Al-Sayed,2004-01-29,"Gò Vấp , TPHCM",088069-6043,2.7382E+11,7,9,6,10,7
918,María Fernández,2004-10-08,"Gò Vấp , TPHCM",086536-2939,3.36926E+11,6,9,8,7,8
919,Lucas Martin,2002-12-14,"Gò Vấp , TPHCM",087869-0619,7.77974E+11,9,6,6,10,6
920,Sofia Garcia,2002-11-22,"Gò Vấp , TPHCM",080664-5894,5.3972E+11,5,5,6,7,9
921,Emma Müller,2000-12-01,"Gò Vấp , TPHCM",087034-2627,8.97816E+11,9,8,6,10,10
922,Ali Hassan,2000-11-29,"Gò Vấp , TPHCM",088817-0135,7.47109E+11,10,9,7,7,10
923,Johanna Weber,2001-09-30,"Gò Vấp , TPHCM",089552-9237,6.34401E+11,7,7,6,10,5
924,Matteo Ferrari,2002-08-18,"Gò Vấp , TPHCM",080898-3800,9.57788E+11,9,8,6,7,9
925,Sofia Garcia,2001-01-01,"Gò Vấp , TPHCM",085960-9708,3.02137E+11,10,10,8,7,7
926,Emma Müller,2001-07-02,"Gò Vấp , TPHCM",080380-3561,6.41292E+11,8,8,5,10,10
927,Ali Hassan,2002-10-18,"Gò Vấp , TPHCM",089077-2084,6.59538E+11,7,7,7,9,7
928,Johanna Weber,2001-09-08,"Gò Vấp , TPHCM",081517-6835,1.39842E+11,7,10,10,6,7
929,Matteo Ferrari,2001-03-29,"Gò Vấp , TPHCM",086232-5475,3.98641E+11,5,7,10,8,9
930,Maxime Dubois,2004-08-26,"Gò Vấp , TPHCM",086369-1976,3.718E+11,8,7,5,7,9
931,Elisa Müller,2004-02-23,"Gò Vấp , TPHCM",082594-3549,6.92028E+11,5,9,10,7,9
932,Lucas Kim,2002-02-28,"Gò Vấp , TPHCM",087627-3391,1.68184E+11,10,10,7,8,7
933,Sofia Rodriguez,2004-07-25,"Gò Vấp , TPHCM",082972-2319,7.48775E+11,10,9,8,9,7
934,William Lee,2000-12-27,"Gò Vấp , TPHCM",088163-0112,6.28564E+11,9,9,7,10,8
935,Emma Johnson,2003-05-13,"Gò Vấp , TPHCM",088794-8959,1.3805E+11,7,9,7,9,7
936,Amir Kaur,2003-05-31,"Gò Vấp , TPHCM",080493-6522,1.7774E+11,6,10,8,7,8
937,Johanna Schmidt,2001-03-17,"Gò Vấp , TPHCM",086662-2213,6.67484E+11,7,10,10,9,5
938,Matteo Bianchi,2003-10-21,"Gò Vấp , TPHCM",080450-6311,2.24066E+11,6,8,5,7,8
939,Maria Hernandez,2000-11-16,"Gò Vấp , TPHCM",084263-5875,1.97219E+11,9,6,7,7,9
940,Youssef Ali,2001-10-06,"Gò Vấp , TPHCM",085622-1845,3.51458E+11,5,9,7,10,6
941,Anna Müller,2001-12-31,"Gò Vấp , TPHCM",081814-3504,7.46432E+11,9,10,8,6,7
942,Miguel Rodriguez,2001-09-20,"Gò Vấp , TPHCM",081544-3410,7.90172E+11,7,10,9,8,9
943,Emily Wilson,2003-07-02,"Gò Vấp , TPHCM",081487-8813,6.41754E+11,10,9,7,5,6
944,Ahmed Hassan,2001-10-21,"Gò Vấp , TPHCM",084467-8949,2.90842E+11,6,7,9,5,6
945,Sarah Kim,2000-11-08,"Gò Vấp , TPHCM",081423-0591,2.95687E+11,10,10,10,9,7
946,Lukas Becker,2002-11-26,"Gò Vấp , TPHCM",086569-8783,4.36216E+11,7,8,5,10,7
947,Sofia Lopez,2002-03-22,"Gò Vấp , TPHCM",082859-0459,5.82153E+11,6,6,9,7,7
948,Alexander Müller,2001-07-13,"Gò Vấp , TPHCM",085337-8355,1.21613E+11,8,8,8,6,10
949,Isabella Rossi,2004-04-23,"Gò Vấp , TPHCM",086825-0496,9.154E+11,5,10,5,5,10
950,Liam Brown,2004-03-12,"Gò Vấp , TPHCM",082261-1216,8.88316E+11,5,10,7,6,9
951,Leila Ali,2003-07-15,"Gò Vấp , TPHCM",080153-8242,4.13065E+11,9,9,10,7,10
952,Chiara Bianchi,2004-08-04,"Gò Vấp , TPHCM",088322-7732,5.50385E+11,5,5,7,9,10
953,Ahmed Al-Sayed,2001-09-07,"Gò Vấp , TPHCM",089953-1966,9.09845E+11,9,9,10,5,10
954,María Fernández,2001-11-28,"Gò Vấp , TPHCM",081498-4207,2.89297E+11,7,7,6,6,5
955,Lucas Martin,2003-11-24,"Gò Vấp , TPHCM",086856-4598,4.64425E+11,10,8,8,8,9
956,Sofia Garcia,2001-06-06,"Gò Vấp , TPHCM",081615-1831,8.19666E+11,10,7,7,5,6
957,Emma Müller,2001-01-10,"Gò Vấp , TPHCM",088736-9423,4.21019E+11,7,8,10,5,7
958,Ali Hassan,2003-05-11,"Gò Vấp , TPHCM",088597-0749,3.67838E+11,6,8,8,5,8
959,Johanna Weber,2003-05-05,"Gò Vấp , TPHCM",084032-6797,4.97837E+11,5,5,5,7,6
960,Matteo Ferrari,2003-01-07,"Gò Vấp , TPHCM",089276-2313,2.13093E+11,9,9,7,9,6
961,Maxime Dubois,2000-12-30,"Gò Vấp , TPHCM",080716-8264,1.89066E+11,10,10,8,9,7
962,Elisa Müller,2004-01-12,"Gò Vấp , TPHCM",081440-4325,3.0056E+11,7,10,6,7,10
963,Lucas Kim,2003-02-02,"Gò Vấp , TPHCM",085569-6097,5.84242E+11,5,9,7,7,7
964,Sofia Rodriguez,2003-09-12,"Gò Vấp , TPHCM",087551-6911,3.43766E+11,7,9,10,5,6
965,William Lee,2004-01-15,"Gò Vấp , TPHCM",083852-2982,3.11504E+11,10,9,7,6,7
966,Emma Johnson,2001-12-25,"Gò Vấp , TPHCM",083062-1383,6.74205E+11,5,5,10,5,9
967,Amir Kaur,2003-01-04,"Gò Vấp , TPHCM",089292-8370,8.14961E+11,7,10,5,6,7
968,Johanna Schmidt,2001-06-15,"Gò Vấp , TPHCM",086354-6600,9.90791E+11,8,5,7,7,8
969,Matteo Bianchi,2001-07-12,"Gò Vấp , TPHCM",086166-0115,5.20627E+11,8,8,7,9,5
970,Maria Hernandez,2002-10-30,"Gò Vấp , TPHCM",085308-2120,1.90197E+11,7,6,9,6,5
971,Youssef Ali,2003-07-15,"Gò Vấp , TPHCM",085322-4021,4.83827E+11,10,8,5,10,6
972,Anna Müller,2000-12-17,"Gò Vấp , TPHCM",083855-8454,4.15434E+11,7,10,10,5,8
973,Miguel Rodriguez,2003-11-16,"Gò Vấp , TPHCM",089850-7029,5.02493E+11,9,8,9,9,6
